Product_code,Vendor_code,Name,Retail_price,Base_unit,Country_of_Origin,ABV,Size
4628,,Cider sparkling Cidera Pekado del' Paraiso brjut,1300,Pieces,,6,0.121-3
5112,,Cider sparkling Cidereri de Savoj iz jablok i grush du,1,Pieces,,2.5,0.121-3
3171,,Cider sparkling pear Kerisak Poiret 0.75,1,Pieces,,2.5,0.121-3
4634,,Cider sparkling Poiret Dushe de Longvij,700,Pieces,,2,0.121-3
5115,,Cider sparkling Rose Le Klo Fleri,1,Pieces,,3,0.121-3
4632,,Cider sparkling Bushe Le Verzhe dju Kotanten sweet,700,Pieces,,2.5,0.121-3
581,De Noel,Cider sparkling De NoAle brjut 0.75,550,Pieces,,4.5,0.121-3
5153,,Cider sparkling zhemchuzhnyj semi-dry Templars Chojs Medium Sajder,,Pieces,,,0.121-3
2009,,"Cider sparkling zhemchuzhnyj, dry Zhgi Eva Zhgi",270,Pieces,,4.5,0.121-3
2932,,Cider sparkling Kerisak BIO brjut 0.75,750,Pieces,,5,0.121-3
3172,,Cider sparkling Kerisak BIO du sweet 0.75,550,Pieces,,2.5,0.121-3
4631,,Cider sparkling KERISAK Breton Brjut,700,Pieces,,5,0.121-3
4630,,Cider sparkling KERISAK d'Otom Osennij,700,Pieces,,2,0.121-3
3170,,Cider sparkling Kerisak kjuve Rose 0.75,1,Pieces,,3,0.121-3
4629,,Cider sparkling Kjuve KERISAK Bushe Breton Brjut,700,Pieces,,5.5,0.121-3
4940,,Cider sparkling Malej Matterhorn Al'pin Sharma,1650,Pieces,,5.5,0.121-3
5113,,Cider sparkling Mem Gudig Bushe du,1,Pieces,,2,0.121-3
5114,,Cider sparkling Soter du d'Al'zas,1,Pieces,,2,0.121-3
5149,,Cider sweet Oliver's Fine Cider The Next Big Thing Keeved Cider 0.75,1380,Pieces,,3.5,0.121-3
142,Thatchers Cider,Cider Tatchers Cider 0.5,330,Pieces,United Kingdom,4.8,0.121-3
5046,Toksovskaya Sideria,Cider Toksovo Holy Hand Grenade / Rose Aronia 0.33,300,Pieces,Russia,5.5,0.121-3
5047,Toksovskaya Sideria,Cider Toksovo Rowan bonfires / Hot Point 0.33,300,Pieces,Russia,4.5,0.121-3
4795,Holy Jack,Cider Toksovskaya Ciderery Holy Jack 20Barrel,640,Liters,Russia,5.5,0.121-3
5235,,Cider Toksovskaya Cidererija Smoothie Point Barrel,640,Liters,,5,0.121-3
5234,,Cider Toksovskaya Cidererija Kostry Rjabin Barrel,640,Liters,,4.5,0.121-3
5236,Toksovskaya Sideria,Cider Toksovskaya Sideria Smoothie Point 0.33,300,Pieces,Russia,5,0.121-3
4183,Trabanco,Cider Trabanco La Sobre Madre 0.7,820,Pieces,Spain,6,0.121-3
674,Trabanco,Cider Trabanco Sidra Avalon / 5.5% / 0.33l,400,Pieces,Spain,5.5,0.121-3
3697,Trabanco,"Cider Trabanco Sidra Natural / cider brut / 6% / 0,7 / but",750,Pieces,Spain,6,0.121-3
5260,Trabanco,"Cider Trabanco Sidra Natural Seleccionada 6% / 0,7 / but",800,Pieces,Spain,6,0.121-3
211,Trabanco,"Cider Trabanco Sidra Natural Trabanco Cosecha Propia / cider brut / 6% / 0,7 / but",750,Pieces,Spain,6,0.121-3
4265,,Cider Turners Apple Pie Cider 0.5,490,Pieces,,4,0.121-3
4266,,Cider Turners Rhubarb Cider 0.5,490,Pieces,,4,0.121-3
4981,,Cider Val de Rance Cidre Biologique 0.75l,870,Pieces,,4,0.435
219,Val de Rance,Cider Val de Rance Cidre Bouche Cru Breton Brut / 5.0% / 0.75l,750,Pieces,France,6,0.45
5261,,Cider Val de Rance Cidre Bouche Cru Breton Brut 0.25,320,Pieces,,6,0.453
1501,,Cider Val de Rance Cidre Traditionnel Brut / 4.5% / 1.5l,770,Pieces,,4.5,0.474
2602,Yablodar,"Cider Yablodar Rose dry carbonated 0,5",200,Pieces,Russia,5.8,0.475
2600,Yablodar,"Cider Yablodar belyj dry carbonated 0,5",200,Pieces,Russia,5.8,0.476
2601,Yablodar,"Cider Yablodar belyj semi-dry carbonated 0,5",230,Pieces,Russia,5.8,1.476
1956,,Cider Blektorn Gold,300,Pieces,,4.7,2.476
759,,Cider Kepplers,560,Liters,,4.5,1.3
1236,,Cider Majodor,720,Liters,,4.1,2.1
4791,,Cider necarbonated Artizanal' Le Klo Fleri brjut Barrel,800,Liters,,4.5,0.265
3168,,Cider necarbonated Artizanal' Le Klo Fleri brjut Barrel20,800,Liters,,4.5,0.755
5053,,Cider necarbonated Val' de Rans brjut Barrel,800,Liters,,4.5,0.753
4010,,Cider ohmelennyj non-alcoholic Los' i Kedr 0.5,200,Pieces,,,0.121-3
1954,,Cider Ochad Pig Hog Fave,350,Pieces,,7.4,0.121-3
1955,,Cider Ochad Pig Chame,350,Pieces,,6,0.121-3
2664,,Cider jablochno-pear carbonated semi-dry La Bransh Barrel 30L,480,Liters,,5.5,0.121-3
3166,,CIdre De Noel 0.75,600,Pieces,,4.5,0.121-3
997,,Cigar City Brewing,,,,,0.121-3
998,,"Cigar City Brewing Marshal Zhukov¡¯s - Vanilla Hazelnut / imperial stout / 11,2% / 0,65",2500,Pieces,,11.2,0.121-3
2471,,"Cigar City Florida Cracker Belgian-style White Ale 0,355",420,Pieces,,5.5,0.121-3
2467,,"Cigar City Guayabera Citra Pale Ale 0,355",420,Pieces,,5.5,0.121-3
2469,,"Cigar City Invasion Pale Ale 0,355",540,Pieces,,5,0.121-3
2468,,"Cigar City Jai Alai IPA 0,355",540,Pieces,,7.5,0.121-3
2470,,"Cigar City Maduro Brown Ale 0,355",570,Pieces,,5.5,0.121-3
2526,Zagovor,Clock Work ZAGOVOR PINTA,600,Liters,Russia,6.7,0.121-3
640,,Clos des Ducs,,,,,0.121-3
641,Clos des Ducs,"Clos des Ducs Premium pear cider / 3% / 0,75l but.",580,Pieces,France,3,0.121-3
1063,,Cloudy Lemonade b/a,200,Pieces,,,0.121-3
68,,Clown Shoes Beer,,,,,0.121-3
103,Clown Shoes Beer,"Clown Shoes Beer Coffee Pecan Pie Porter / imperial porter / 8,5% / 0,665 but.",1120,Pieces,USA,8.5,0.121-3
2449,,Club Mate Limonad,220,Pieces,,,0.435
1448,XP Brew,COCONUT BAY / XP Brew Barrel G.see Farm 1 / Negative Sunrise 1,560,Liters,Russia,6,0.45
1892,Foco,Coconut water FOCO 1 L Tetra Pak,148,Pieces,,,0.453
1200,,Coffee 300 ml,400,Pieces,,,0.474
2501,,Collective Arts,,,,,0.475
2502,Collective Arts,"Collective Arts Mash Up The Jam 0,473 Can",480,Pieces,Canada,5.2,0.476
2503,Collective Arts,"Collective Arts Project Imperial Porter 0,473 Can",550,Pieces,Canada,8.6,1.476
2531,Collective Arts,"Collective Arts Ransack The Universe 0,473 Can",640,Pieces,Canada,6.8,2.476
2530,Collective Arts,"Collective Arts Rhyme And Reason 0,473 Can",370,Pieces,Canada,5.7,1.3
3005,Collective Arts,Collective Arts State Of Mind 0.473,530,Pieces,Canada,4.4,2.1
1722,,CONNECT FIRST,,,,,0.265
4371,,Connecticut Valley,,,,,0.755
4296,Connecticut Valley,Connecticut Valley Coffee Stout Obsession 0.473,720,Pieces,USA,8.6,0.753
4297,Connecticut Valley,Connecticut Valley Fueled By Gravity 0.473,780,Pieces,USA,8,0.121-3
4295,Connecticut Valley,Connecticut Valley Mackinaw Peach Sour 0.473,720,Pieces,USA,5.5,0.121-3
4298,Connecticut Valley,Connecticut Valley Star Gazer 0.473,720,Pieces,USA,8.1,0.121-3
4294,Connecticut Valley,Connecticut Valley The Light Keeper 0.473,530,Pieces,USA,4.8,0.121-3
4293,Connecticut Valley,Connecticut Valley The Sailor's Dream 0.473,530,Pieces,USA,4.8,0.121-3
4299,Connecticut Valley,Connecticut Valley Trail Blazer 0.473,720,Pieces,USA,8,0.121-3
4645,,Cookie Monster 0.5,300,Pieces,USA,5.8,0.121-3
4228,,Cool Brew,,,,,0.121-3
